year,parcel_id,season,crop,area_da,water_m3_calib_gross,profit_tl,village,district,parcel_type
2024,P1,primary,BUĞDAY (Dane),1890.0,1158248.7,5078499.93,Sazlıca,Merkez,field
2024,P1,secondary,ARPA (YEŞİLOT),810.0,358724.7,3402000.0,Sazlıca,Merkez,field
2024,P2,primary,ARPA (Dane),700.0,360745.0,1820000.0,Sazlıca,Merkez,field
2024,P2,secondary,ARPA (YEŞİLOT),300.0,132861.0,1260000.0,Sazlıca,Merkez,field
2024,P3,primary,ÇAVDAR (Dane),28.0,14390.32,70000.0,Sazlıca,Merkez,field
2024,P3,secondary,ARPA (YEŞİLOT),12.0,5314.44,50400.0,Sazlıca,Merkez,field
2024,P4,primary,TRTİKALE (Dane),49.0,26565.35,132300.0,Sazlıca,Merkez,field
2024,P4,secondary,ARPA (YEŞİLOT),21.0,9300.27,88200.0,Sazlıca,Merkez,field
2024,P5,primary,YULAF (Dane),35.0,17249.05,87500.0,Sazlıca,Merkez,field
2024,P5,secondary,ARPA (YEŞİLOT),15.0,6643.05,63000.0,Sazlıca,Merkez,field
2024,P6,primary,KURU FASULYE,56.0,46732.56,308000.0,Sazlıca,Merkez,field
2024,P6,secondary,ARPA (YEŞİLOT),24.0,10628.88,100800.0,Sazlıca,Merkez,field
2024,P7,primary,NOHUT,56.0,37232.16,179200.0,Sazlıca,Merkez,field
2024,P7,secondary,ARPA (YEŞİLOT),24.0,10628.88,100800.0,Sazlıca,Merkez,field
2024,P8,primary,AYÇİÇEĞİ,14.0,13592.74,58800.0,Sazlıca,Merkez,field
2024,P8,secondary,ARPA (YEŞİLOT),6.0,2657.22,25200.0,Sazlıca,Merkez,field
2024,P9,primary,PATATES,332.5,295765.4,771738.1525,Sazlıca,Merkez,field
2024,P9,secondary,ARPA (YEŞİLOT),142.5,63108.975,598500.0,Sazlıca,Merkez,field
2024,P10,primary,BUĞDAY (YEŞİLOT),14.0,6406.54,49000.0,Sazlıca,Merkez,field
2024,P10,secondary,ARPA (YEŞİLOT),6.0,2657.22,25200.0,Sazlıca,Merkez,field
2024,P11,primary,ARPA (YEŞİLOT),14.0,6200.18,58800.0,Sazlıca,Merkez,field
2024,P11,secondary,FİĞ (YEŞİLOT),6.0,3644.22,27000.0,Sazlıca,Merkez,field
2024,P12,primary,ÇAVDAR (YEŞİLOT),245.0,119349.3,955500.0,Sazlıca,Merkez,field
